track,skill,module,title,type,lang,sequence,learning,difficulty,time,directions,path,discord_URL,discord_channel_id,discord_message_id,slug
DEV,01_intro,01_baisc_knowledge,🔹Qué es el desarrollo web front-end y qué es el back-end,activity,ES,00,,,,,DEV/01_intro/01_baisc_knowledge/activities/00_01_02_web_dev_ES.md,,,,dev-01_intro-01_baisc_knowledge-activity-es
DEV,01_intro,01_baisc_knowledge,Tendencias actuales y futuras en el Desarrollo Web,activity,ES,00,,,,,DEV/01_intro/01_baisc_knowledge/activities/00_01_04_dev_trends_ES.md,,,,dev-01_intro-01_baisc_knowledge-activity-es
DEV,01_intro,01_baisc_knowledge,DEV : introduction : basic knowledge : activities,activity,ES,RE,,,,,DEV/01_intro/01_baisc_knowledge/activities/README_ES.md,,,,dev-01_intro-01_baisc_knowledge-activity-es
DEV,01_intro,01_baisc_knowledge,Tópicos,container,ES,00,,,,,DEV/01_intro/01_baisc_knowledge/topics/README.md,,,,dev-01_intro-01_baisc_knowledge-container-none
DEV,01_intro,01_baisc_knowledge,Tópicos,container,PT,00,,,,,DEV/01_intro/01_baisc_knowledge/topics/README.md,,,,dev-01_intro-01_baisc_knowledge-container-none
DEV,01_intro,01_baisc_knowledge,Módulo 1: Todo sobre el desarrollo Web,container,ES,01,,,,,DEV/01_intro/01_baisc_knowledge/README.md,,,,dev-01_intro-01_baisc_knowledge-container-none
DEV,01_intro,01_baisc_knowledge,Módulo 1: Tudo sobre desenvolvimento Web,container,PT,01,,,,,DEV/01_intro/01_baisc_knowledge/README.md,,,,dev-01_intro-01_baisc_knowledge-container-none
DEV,01_intro,01_baisc_knowledge,Título,topic,PT,01,,,,,DEV/01_intro/01_baisc_knowledge/topics/01_topic_xyz_PT.md,,,,dev-01_intro-01_baisc_knowledge-topic-pt
DEV,01_intro,01_baisc_knowledge,Título topic xyz,topic,ES,01,,,,,DEV/01_intro/01_baisc_knowledge/topics/01_topic_xyz_ES.md,,,,dev-01_intro-01_baisc_knowledge-topic-es
DEV,01_intro,01_baisc_knowledge,Título,topic,ES,02,,,,,DEV/01_intro/01_baisc_knowledge/topics/02_topic_abc_ES.md,,,,dev-01_intro-01_baisc_knowledge-topic-es
DEV,01_intro,02_learning_bydoing,:small_blue_diamond: Reto 2.1 : Mi Primera Página HTML,activity,ES,00,,,,,DEV/01_intro/02_learning_bydoing/activities/00_02_01_myfirst_ES.md,,,,dev-01_intro-02_learning_bydoing-activity-es
DEV,01_intro,02_learning_bydoing,Aprende haciendo,activity,ES,00,,,,,DEV/01_intro/02_learning_bydoing/activities/00_02_00_practice_ES.md,,,,dev-01_intro-02_learning_bydoing-activity-es
DEV,01_intro,02_learning_bydoing,Reflexiona y comenta,activity,ES,00,,,,,DEV/01_intro/02_learning_bydoing/activities/00_02_02_close_ES.md,,,,dev-01_intro-02_learning_bydoing-activity-es
DEV,01_intro,02_learning_bydoing,Módulo 2,container,ES,02,,,,,DEV/01_intro/02_learning_bydoing/README.md,,,,dev-01_intro-02_learning_bydoing-container-none
DEV,01_intro,02_learning_bydoing,Módulo 2,container,PT,02,,,,,DEV/01_intro/02_learning_bydoing/README.md,,,,dev-01_intro-02_learning_bydoing-container-none
DEV,02_responsive,,Introducción,container,ES,02,,,,,DEV/02_responsive/01_00_00_overview.md,,,,dev-02_responsive-none-container-none
DEV,02_responsive,,Lo que aprenderás:,container,PT,02,,,,,DEV/02_responsive/01_00_00_overview.md,,,,dev-02_responsive-none-container-none
DEV,02_responsive,,Introducción al Desarrollo Web,container,ES,02,,,,,DEV/02_responsive/README.md,,,,dev-02_responsive-none-container-none
DEV,02_responsive,,Introdução ao desenvolvimento web,container,PT,02,,,,,DEV/02_responsive/README.md,,,,dev-02_responsive-none-container-none
DEV,02_responsive,01_your_first_web,Meta de Aprendizaje,container,ES,01,,,,,DEV/02_responsive/01_your_first_web/01_01_02_project_add_CSS_ES.md,,,,dev-02_responsive-01_your_first_web-container-es
DEV,02_responsive,01_your_first_web,Descripción,container,PT,01,,,,,DEV/02_responsive/01_your_first_web/01_01_02_project_add_CSS_ES.md,,,,dev-02_responsive-01_your_first_web-container-es
DEV,02_responsive,01_your_first_web,Meta de Aprendizaje,container,ES,01,,,,,DEV/02_responsive/01_your_first_web/01_01_03_project_semantic_HTML_ES.md,,,,dev-02_responsive-01_your_first_web-container-es
DEV,02_responsive,01_your_first_web,Descripción,container,PT,01,,,,,DEV/02_responsive/01_your_first_web/01_01_03_project_semantic_HTML_ES.md,,,,dev-02_responsive-01_your_first_web-container-es
DEV,02_responsive,01_your_first_web,Meta de Aprendizaje,container,ES,01,,,,,DEV/02_responsive/01_your_first_web/01_01_01_project_myFirstWeb_ES.md,,,,dev-02_responsive-01_your_first_web-container-es
DEV,02_responsive,01_your_first_web,Descripción,container,PT,01,,,,,DEV/02_responsive/01_your_first_web/01_01_01_project_myFirstWeb_ES.md,,,,dev-02_responsive-01_your_first_web-container-es
DEV,02_responsive,01_your_first_web,Introducción,container,ES,01,,,,,DEV/02_responsive/01_your_first_web/01_01_00_modulo_myFirstWeb_ES.md,,,,dev-02_responsive-01_your_first_web-container-es
DEV,02_responsive,01_your_first_web,Lo que aprenderás,container,PT,01,,,,,DEV/02_responsive/01_your_first_web/01_01_00_modulo_myFirstWeb_ES.md,,,,dev-02_responsive-01_your_first_web-container-es
DEV,02_responsive,02_your_first_form,Introducción,container,ES,02,,,,,DEV/02_responsive/02_your_first_form/01_02_00_modulo_form_ES.md,,,,dev-02_responsive-02_your_first_form-container-es
DEV,02_responsive,02_your_first_form,Lo que aprenderás,container,PT,02,,,,,DEV/02_responsive/02_your_first_form/01_02_00_modulo_form_ES.md,,,,dev-02_responsive-02_your_first_form-container-es
DEV,02_responsive,02_your_first_form,Meta de Aprendizaje,container,ES,02,,,,,DEV/02_responsive/02_your_first_form/01_02_01_project_formulario_ES.md,,,,dev-02_responsive-02_your_first_form-container-es
DEV,02_responsive,02_your_first_form,Descripción,container,PT,02,,,,,DEV/02_responsive/02_your_first_form/01_02_01_project_formulario_ES.md,,,,dev-02_responsive-02_your_first_form-container-es
DEV,02_responsive,03_responsive_design,Meta de Aprendizaje,container,ES,03,,,,,DEV/02_responsive/03_responsive_design/01_03_01_project_responsive_mediaqueries_ES.md,,,,dev-02_responsive-03_responsive_design-container-es
DEV,02_responsive,03_responsive_design,Descripción,container,PT,03,,,,,DEV/02_responsive/03_responsive_design/01_03_01_project_responsive_mediaqueries_ES.md,,,,dev-02_responsive-03_responsive_design-container-es
DEV,02_responsive,03_responsive_design,Meta de Aprendizaje,container,ES,03,,,,,DEV/02_responsive/03_responsive_design/01_03_02_project_responsive_flexbox_ES.md,,,,dev-02_responsive-03_responsive_design-container-es
DEV,02_responsive,03_responsive_design,Descripción,container,PT,03,,,,,DEV/02_responsive/03_responsive_design/01_03_02_project_responsive_flexbox_ES.md,,,,dev-02_responsive-03_responsive_design-container-es
DEV,02_responsive,03_responsive_design,Introducción,container,ES,03,,,,,DEV/02_responsive/03_responsive_design/01_03_00_modulo_responsive_ES.md,,,,dev-02_responsive-03_responsive_design-container-es
DEV,02_responsive,03_responsive_design,Lo que aprenderás,container,PT,03,,,,,DEV/02_responsive/03_responsive_design/01_03_00_modulo_responsive_ES.md,,,,dev-02_responsive-03_responsive_design-container-es
DEV,02_responsive,04_practice_replicate,Introducción,container,ES,04,,,,,DEV/02_responsive/04_practice_replicate/01_04_00_modulo_replications_ES.md,,,,dev-02_responsive-04_practice_replicate-container-es
DEV,02_responsive,04_practice_replicate,Lo que aprenderás,container,PT,04,,,,,DEV/02_responsive/04_practice_replicate/01_04_00_modulo_replications_ES.md,,,,dev-02_responsive-04_practice_replicate-container-es
DEV,02_responsive,04_practice_replicate,Meta de Aprendizaje,container,ES,04,,,,,DEV/02_responsive/04_practice_replicate/01_04_01_project_replications_basic_ES.md,,,,dev-02_responsive-04_practice_replicate-container-es
DEV,02_responsive,04_practice_replicate,Descripción,container,PT,04,,,,,DEV/02_responsive/04_practice_replicate/01_04_01_project_replications_basic_ES.md,,,,dev-02_responsive-04_practice_replicate-container-es
DEV,02_responsive,04_practice_replicate,Meta de Aprendizaje,container,ES,04,,,,,DEV/02_responsive/04_practice_replicate/01_04_02_project_replications_netflix_ES.md,,,,dev-02_responsive-04_practice_replicate-container-es
DEV,02_responsive,04_practice_replicate,Descripción,container,PT,04,,,,,DEV/02_responsive/04_practice_replicate/01_04_02_project_replications_netflix_ES.md,,,,dev-02_responsive-04_practice_replicate-container-es
DEV,02_responsive,04_practice_replicate,Meta de Aprendizaje,container,ES,04,,,,,DEV/02_responsive/04_practice_replicate/01_04_03_project_replications_slack_ES.md,,,,dev-02_responsive-04_practice_replicate-container-es
DEV,02_responsive,04_practice_replicate,Descripción,container,PT,04,,,,,DEV/02_responsive/04_practice_replicate/01_04_03_project_replications_slack_ES.md,,,,dev-02_responsive-04_practice_replicate-container-es
